===== PRRP Execution Time Profiling =====

         165451760 function calls (165445331 primitive calls) in 61.174 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  Memory Usage Samples: [1517.25, 1517.4375, 1517.453125, 1520.515625, 1551.0, 1551.0, 1551.0, 1551.0, 1551.0, 1551.0, 1551.0, 1577.890625, 1586.25, 1586.25, 1586.25, 1586.25, 1586.25, 1586.25, 1587.5, 1495.90625, 1390.6875, 1354.859375, 1354.859375, 1354.859375, 1354.859375, 1354.859375, 1350.75, 1263.5, 1262.25, 1291.875, 1357.59375, 1430.921875, 1517.515625, 1626.3125, 1664.78125, 1664.78125, 1664.78125, 1664.796875, 1664.796875, 1664.796875, 1664.796875, 1664.796875, 1664.796875, 1664.796875, 1664.796875, 1670.859375, 1705.71875, 1814.828125, 1894.5625, 1903.6875, 1904.96875, 1914.71875, 1914.75, 1915.09375, 1915.59375, 1920.453125, 1920.453125, 1920.453125, 1920.453125, 1920.453125, 1920.453125, 1920.453125, 1920.453125, 1920.453125, 1920.453125, 1937.75, 1969.578125, 1999.78125, 2010.984375, 2093.453125, 2103.203125, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2108.359375, 2110.859375, 2112.75, 2117.59375, 2118.8125, 2122.84375, 2126.515625, 2129.640625, 2132.734375, 2227.1875, 2229.703125, 2231.890625, 2233.625, 2234.609375, 2235.171875, 2235.234375, 2235.234375, 2235.234375, 2235.234375, 2235.234375, 2235.234375, 2235.234375, 2235.3125, 2235.421875, 2235.5625, 2235.671875, 2235.84375, 2236.0, 2236.140625, 2236.265625, 2236.40625, 2236.53125, 2236.65625, 2236.765625, 2236.890625, 2237.0, 2237.078125, 2236.375, 2236.5625, 2227.1875, 2202.46875, 2203.046875, 2203.375, 2203.4375, 2203.515625, 2202.8125, 2094.625, 1588.75, 1438.546875, 1450.609375, 1453.109375, 1454.140625, 1455.3125, 1456.390625, 1476.328125, 1483.296875, 1483.296875, 1483.296875, 1483.296875, 1488.3125, 1488.3125, 1490.984375, 1490.984375, 1490.984375, 1490.984375, 1498.390625, 1498.40625, 1498.40625, 1498.40625, 1498.40625, 1498.40625, 1498.40625, 1498.40625, 1498.40625, 1498.40625, 1498.40625, 1498.421875, 1498.453125, 1498.453125, 1498.453125, 1498.453125, 1498.484375, 1502.5625, 1502.5625, 1502.5625, 1502.5625, 1502.5625, 1502.578125, 1502.59375, 1502.59375, 1502.59375, 1502.59375, 1502.59375, 1502.609375, 1502.828125, 1502.828125, 1502.828125, 1502.828125, 1502.859375, 1502.859375, 1502.859375, 1502.859375, 1502.859375, 1502.859375, 1504.953125, 1504.953125, 1504.953125, 1504.953125, 1504.953125, 1504.953125, 1504.953125, 1504.953125, 1504.953125, 1504.953125, 1504.953125, 1504.953125, 1504.953125, 1506.53125, 1506.53125, 1506.53125, 1506.53125, 1506.546875, 1507.078125, 1507.078125, 1507.078125, 1507.078125, 1507.078125, 1509.953125, 1509.953125, 1509.953125, 1509.953125, 1509.953125, 1509.953125, 1509.953125, 1509.953125, 1509.953125, 1509.953125, 1509.953125, 1509.96875, 1509.984375, 1509.984375, 1509.984375, 1509.984375, 1509.984375, 1511.5625, 1511.5625, 1511.5625, 1511.5625, 1511.5625, 1511.5625, 1511.8125, 1512.78125, 1512.78125, 1512.78125, 1512.78125, 1512.78125, 1512.78125, 1512.78125, 1512.78125, 1512.78125, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.25, 1515.328125, 1516.21875, 1516.28125, 1517.640625, 1525.46875, 1531.296875, 1537.5, 1544.9375, 1553.234375, 1561.78125, 1570.6875, 1577.1875, 1577.1875, 1577.1875, 1577.1875, 1577.1875, 1577.1875, 1577.1875, 1581.09375, 1592.8125, 1603.625, 1616.484375, 1617.6875, 1598.78125, 1601.21875, 1602.625, 1603.5625, 1604.234375, 1609.921875, 1610.25, 1610.296875, 1610.296875, 1610.296875, 1610.296875, 1610.296875, 1610.53125, 1613.0, 1615.15625, 1602.96875, 1602.96875, 1602.96875, 1604.734375, 1605.984375, 1605.984375, 1605.984375, 1605.984375, 1605.984375, 1605.984375, 1605.984375, 1605.984375, 1605.984375, 1605.984375, 1522.234375, 1519.28125, 1517.890625]

Function: construct_adjacency_list
  Peak Memory Usage: 1518.00 MiB
  Memory Usage Samples: [1518.0, 1518.0, 1518.0, 1518.0, 1518.0, 1518.0, 1518.0, 1518.0, 1518.0, 1518.0, 1518.0]

===== Optimization Recommendations =====
1. Investigate functions with high cumulative time (shown in the execution profile).
2. Consider optimizing inner loops and data structures (e.g., using sets or efficient libraries) where memory usage is high.
3. If memory usage is a concern, review the creation of large intermediate objects and consider in-place modifications.
